Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",122.279000,-111.290000,90.000000,top
"C2","100n","C_0603_1608Metric",125.879000,-111.290000,90.000000,top
"C3","100n","C_0603_1608Metric",125.815000,-116.125000,-90.000000,top
"C4","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",136.097500,-70.280000,0.000000,top
"C5","100n","C_0603_1608Metric",136.890000,-67.520000,0.000000,top
"C6","100u","50YXJ100MT78X11.5",111.580000,-75.025000,-90.000000,top
"C7","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",167.987500,-70.280000,0.000000,top
"C8","100n","C_0603_1608Metric",168.780000,-67.520000,0.000000,top
"C9","100u","50YXJ100MT78X11.5",143.470000,-75.025000,-90.000000,top
"C10","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",204.287500,-70.280000,0.000000,top
"C11","100n","C_0603_1608Metric",205.080000,-67.520000,0.000000,top
"C12","100u","50YXJ100MT78X11.5",179.770000,-75.025000,-90.000000,top
"C13","100n","C_0603_1608Metric",157.700000,-132.800000,90.000000,top
"C14","47p","C_0603_1608Metric",155.370000,-127.060000,0.000000,top
"C15","47p","C_0603_1608Metric",147.720000,-127.070000,180.000000,top
"C16","100n","C_0603_1608Metric",157.195000,-122.800000,0.000000,top
"C17","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",159.230000,-118.690000,-90.000000,top
"C18","100n","C_0603_1608Metric",157.058000,-119.470000,-90.000000,top
"D1","LED","LED_1206_3216Metric",145.898000,-111.834000,180.000000,top
"J0","Barrel_Jack_MountingPin","BarrelJack_Horizontal",101.877500,-73.350000,-90.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",108.225000,-100.060000,90.000000,top
"J2","UART","PinHeader_1x02_P2.54mm_Vertical",137.610000,-130.070000,90.000000,top
"J3","SWD","PinHeader_1x04_P2.54mm_Vertical",163.320000,-130.070000,90.000000,top
"J4","M3 HEADER","PinHeader_1x04_P2.54mm_Vertical",124.630000,-65.160000,90.000000,top
"J5","M2 HEADER","PinHeader_1x04_P2.54mm_Vertical",156.520000,-65.160000,90.000000,top
"J6","M1 HEADER","PinHeader_1x04_P2.54mm_Vertical",192.820000,-65.160000,90.000000,top
"J7","Screw_Terminal_01x02","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",116.817500,-65.860000,180.000000,top
"J8","Screw_Terminal_01x02","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",148.707500,-65.860000,180.000000,top
"J9","Screw_Terminal_01x02","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",185.007500,-65.860000,180.000000,top
"J10","USB_B_Micro","USB_Micro-B_Amphenol_10118193-0001LF_Horizontal",151.990000,-133.675000,0.000000,top
"R1","220","R_0603_1608Metric",141.326000,-111.834000,180.000000,top
"R2","27","R_0603_1608Metric",152.710000,-126.255000,90.000000,top
"R3","27","R_0603_1608Metric",150.439000,-126.255000,90.000000,top
"R4","4k7","R_0603_1608Metric",146.220000,-131.480000,-90.000000,top
"R5","10k","R_0603_1608Metric",144.500000,-131.480000,90.000000,top
"SW1","PWR","SW_500SSP1S1M6QEA",93.691600,-93.556700,90.000000,top
"SW2","RESET","SW_TH_Tactile_Omron_B3F-10xx",133.150000,-131.740000,180.000000,top
"U0","MINI-560 DC-DC","MINI-560",102.600000,-111.960000,0.000000,top
"U1","STM32C071KBT3","QFP80P900X900X160-32N",133.640000,-108.090000,0.000000,top
"U2","TMC2209 STEPSTICK","TMC-2209_Stepstick",128.387500,-80.490000,90.000000,top
"U3","TMC2209 STEPSTICK","TMC-2209_Stepstick",160.277500,-80.490000,90.000000,top
"U4","TMC2209 STEPSTICK","TMC-2209_Stepstick",196.577500,-80.490000,90.000000,top
"U5","FT230XS","SSOP-16_3.9x4.9mm_P0.635mm",151.510000,-121.517500,0.000000,top
"X1","ECS-2520MV-xxx-xx","Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm",124.870000,-103.775000,0.000000,top
